Time,Cells,T Cells + Cells,E1/aTCR 400,E1/aTCR 100,E1/aTCR 25,E1/aTCR 6.25,E1/aTCR 1.56,E1/aTCR 0.39,E1/HINT-aTCR 400,E1/HINT-aTCR 100,E1/HINT-aTCR 25,E1/HINT-aTCR 6.25,E1/HINT-aTCR 1.56,E1/HINT-aTCR 0.39,E1/Cl-HINT-aTCR 400,E1/Cl-HINT-aTCR 100,E1/Cl-HINT-aTCR 25,E1/Cl-HINT-aTCR 6.25,E1/Cl-HINT-aTCR 1.56,E1/Cl-HINT-aTCR 0.39
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1.04,1.01,0.97,1.01,1.02,1.01,0.99,0.99,0.99,0.96,1.01,1.01,1.01,1,0.94,0.96,1,1,1.01,1.01
8,1.18,1.09,0.87,0.96,1.08,1.1,1.05,1.06,0.99,0.96,1.08,1.09,1.09,1.08,0.83,0.85,1.04,1.1,1.1,1.08
12,1.38,1.22,0.76,0.81,1.06,1.23,1.17,1.19,0.94,0.93,1.18,1.21,1.22,1.21,0.72,0.75,1.04,1.23,1.23,1.21
16,1.58,1.34,0.66,0.71,0.93,1.36,1.29,1.32,0.88,0.9,1.28,1.37,1.37,1.35,0.63,0.65,0.95,1.38,1.38,1.33
20,1.79,1.46,0.56,0.59,0.78,1.47,1.39,1.42,0.83,0.85,1.36,1.49,1.51,1.47,0.53,0.55,0.86,1.52,1.52,1.45
24,2.06,1.62,0.44,0.47,0.68,1.62,1.52,1.58,0.78,0.82,1.46,1.66,1.68,1.63,0.44,0.44,0.77,1.68,1.69,1.61
28,2.39,1.81,0.34,0.35,0.58,1.83,1.72,1.79,0.74,0.78,1.55,1.86,1.9,1.84,0.35,0.35,0.72,1.89,1.92,1.8
32,2.75,2.05,0.26,0.26,0.48,2.07,1.95,2.04,0.68,0.74,1.68,2.07,2.14,2.07,0.28,0.26,0.68,2.12,2.16,2.03
36,3.12,2.3,0.19,0.19,0.39,2.31,2.19,2.3,0.63,0.7,1.82,2.34,2.4,2.34,0.21,0.2,0.61,2.37,2.41,2.27
40,3.53,2.59,0.14,0.14,0.31,2.58,2.46,2.6,0.57,0.67,1.95,2.62,2.71,2.59,0.16,0.14,0.54,2.63,2.69,2.53
44,3.96,2.93,0.1,0.1,0.24,2.89,2.8,2.96,0.52,0.63,2.06,2.92,3.06,2.91,0.12,0.1,0.48,2.92,3.01,2.87
48,4.38,3.29,0.08,0.07,0.18,3.23,3.16,3.35,0.46,0.59,2.17,3.27,3.41,3.26,0.09,0.08,0.42,3.23,3.39,3.22
